project_num,project_name,SowKey
666929,BCBS | 2024 Benefits/Clinical Rapid Response Media,
595332,BCBS | AZBlue Content Strategy 2023,
577215,BCBS | Blue Cross Blue Shield AZ Blue Content Strategy,
615343,BCBS | June SEO Work,
664778,BCBS | Kobalt Health Microsite,
601758,BCBS | Landing Page Retainer,
648975,BCBS | Medicare Media,
617257,BCBS | Medicare Stars + Retention,
565654,BCBS | One-Time Media Setup,
567634,BCBS | Ongoing Media Management,
633165,BCBS | Print Production Management,
584954,BCBS | Super Bowl 2023,
652609,BCBS| CC Ongoing Council 2024,
611274,Beazer Homes | Charitable Foundation Structure Research,
456181,Becoming Mrs. Stanley | 2020 PR Support,SOW_ Becoming Mrs. Stanley - 2020 PR Support-2
490638,Becoming Mrs. Stanley | 2021,Becoming Mrs. Stanley - 2021 PR SOW
392091,Benchmark,
631403,Berline | Gun Lake Casino Creative,
14566,Best Western Microsite,
41543,BIC Gore Sweeps Rules Page,
32555,BIC: Gore - Sweeps,
561834,Blue Cross Blue Shield | Content Strategy,
591897,Blue Cross Blue Shield | FY23 Media Management,
671137,BlueHive | Go-To-Marketing Strategy,
585392,BMO | Account Based Marketing (one-time),
418748,BMX | USA BMX - Local Track Marketing,
457441,BMX | USA BMX - Local Track Phase 2 Planning,
413630,BMX | USA BMX - Membership Sign Up,
420424,BMX | USA BMX - Website,
61783,BNA - Barrow Strategy~,
56610,BNA - Barrow Website - Import 5/22/15,
54757,BNA - Website Redesign~,
672008,Bonafide Beef | Creative Engagement 2024,
674153,Bonafide Beef | Ongoing Content Strategy 2024,
674151,Bonafide Beef | Website Maintenance 2024,
56529,BOOT - Boots Import 5/22/15~,
86020,BOT - Brand & Planning ~,
507102,Boulder Voices for Children Digital Media,
519879,Boyce Thompson Arboretum | Brand Strategy and Creative Development,
575753,Boyce Thompson | Centennial PR,
633023,Boyce Thompson | Centennial PR 2023,
451926,Bravous - PR Campaign,
455256,Bravous | Scott Novis Branding,
476099,Breyer Law | Creative Concepting + Execution,
479464,Breyer Law | Creative Support,
509845,Breyer Law | Media Strategy 2021,
461497,Breyer Law | Social Advertising Campaign,
375801,Brophy Campaign Collateral Creation,
593632,BTA | Centennial Logo,BTA Centennial Celebration PR SOW - Revised July 2023 - EXECUTED
655488,BU | CC Consulting Project,
377371,Bujori | 2019 Non-Billable,
375001,Bujori | Brand and Design Project,Bujori Bottle & Package Design SOW  01.28.19
380022,Bujori | Website Creation,SOW_ Bujori - Website
238801,BUZZ - New Business/Sales,
239044,BUZZ - Product Launch Video,Buzzies Basic Product Video & PR Support SOW - 04.03.47
239045,BUZZ - Public Relations Support,Buzzies Basic Product Video & PR Support SOW - 04.03.47
667632,C&C Internal Projects,
629839,C&C Projects,
663712,C&C | 2024 Social Management,
624061,C&C | Internal Time Tracking 2023,
573334,C&C | Web Maintenance Ongoing,
535739,C&C | Website Redesign,
245032,"CAB - ""How We Got Here"" Strategy Deck",
138847,CAB - 2016 RETAINER,
174046,CAB - 2016 Talent Renewals,
157418,CAB - 2017 Misc. Projects,
218654,CAB - 2017 Rebrand,
296177,CAB - 2018 Misc. Projects,
67574,CAB - All Digital ~,
175495,CAB - Brand Research,
309068,CAB - Brand Speed Campaign,
330809,CAB - Brand Video Production,
77633,CAB - Common Sense Campaign 2015 ~,
114045,CAB - Common Sense Campaign 2016,
166596,CAB - Corporate Blog Build,
67575,CAB - Dub Orders ~,
138896,CAB - Emoji Support Elements,
289538,CAB - Fargo/Odessa Competitive Campaign,
110456,CAB - GigaONE Launch Campaign 2016 ~,
115879,CAB - GigaONE Phase 2 Campaign,
163605,CAB - Half Price OOH (Incremental),
142177,CAB - HSD Service Name Change,
175392,CAB - Incremental Print Ads,
306195,CAB - Internet of Choice 2018,
310206,CAB - Light Support Retainer,
139042,CAB - Logo Refresh,
61195,CAB - Media Coordination 2016,
62618,CAB - Misc. / Contingency Funds [ARCHIVE],
240055,CAB - Murphy WiFi ONE Ad Testing,
127350,CAB - NEW BUSINESS/SALES,
67577,CAB - Outdoor [ARCHIVE] ~,
339169,CAB - Paid Social Program,
67578,CAB - Print Production [ARCHIVE] ~,
180062,CAB - Q1 WiFi TV Production,
239509,CAB - Q3 GigaONE Production,
254080,CAB - Q3 GigaONE Supporting Elements,
230704,CAB - Q3 WiFi One Production,
254078,CAB - Q3 WiFi ONE Supporting Elements,
280506,CAB - Q4 2017-18 Anti-competitive Speed Spots,
179187,CAB - Q4 Emoji Supporting Elements,
67573,CAB - Radio [ARCHIVE] ~,
63147,CAB - Rebrand [ARCHIVE],
71211,CAB - Research / Strategy [ARCHIVE] ~,
61223,CAB - Reserve [ARCHIVE] ~,
67579,CAB - Retainer [ARCHIVE] ~,
67582,CAB - Sales Opportunities [ARCHIVE] ~,
115860,CAB - Standing Meetings - 2016 ~,
61071,CAB - TV Production / Branding [ARCHIVE] ~,
67576,CAB - Web Projects [ARCHIVE] ~,
121077,CAB Traffic Coordination,
351193,CAB | 100 Hour Credit Project,
369752,CAB | 2019 New Business/Sales,
208089,CAB- 2017 Media Coordination,
208086,CAB- 2017 Retainer,
296160,CAB- 2018 Media Coordination,
293712,CAB- 2018 Retainer,
176732,CAB- Lineup Changes,
193903,CAB- Q1 Wifi One Supporting Elements,
175405,CAB- Q4 Emoji TV Production,
176390,CAB- Spanish Version Fall Offer,
213215,CAB- Spot Renewals,
199743,CAB- WiFi Education Campaign,
203289,CAB- Winter Offer OOH,
206219,CAB- Winter Offer Supporting Elements,
25653,CAB-1509 Landing Page,
107439,CAB/B Spot Renewals ~,
26952,CAB/B-294 TheWire Site Updates,
41843,CAB/B-454 Customer Onboarding Experience,
